Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/30/64/1993,53.6741,-3.23085,12.52,16.793,33.951,0.63,0.3340625,12649.11035,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,304,52,0,304,6,4,2,6,0,0,0,0,0,0,0,310,56,2,310,0,2,0,0
BTS-VIIa/214/113/1993,53.5975,-6.10005,8.36,15.721,34.184,0.47,0.3340625,2236.068115,207.6338283,8536.822221,6,0,0,0.197,9228.522807,18,0,0,24,0,0,0,0,916,34,4,1154,62,10,0,72,0,0,0,0,0,0,0,996,44,4,1250,0,0,0,0
BTS-VIIa/29/76/1993,53.59255,-3.1758,6.24,16.664,34.142,0.35,0.3340625,5830.95166,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,270,16,2,270,24,14,2,26,0,0,0,0,0,0,0,294,30,4,296,0,6,0,0
BTS-VIIa/46/65/1993,53.66085,-3.4683,26.1,16.84,33.909,0.77,0.429296875,26400.75781,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,194,126,0,194,4,4,0,4,0,0,0,0,0,0,0,198,130,0,198,0,0,0,0
BTS-VIIa/28/68/1993,53.7783,-3.26915,11.75,16.736,33.829,0.78,0.254375,15000,0,2287.111111,0,0,0,0.317249829,13490.21972,2,0,0,2,0,0,0,0,76,48,4,76,62,54,2,62,0,0,0,0,0,0,0,140,102,6,140,0,0,0,0
BTS-VIIa/45/67/1993,53.735,-3.4075,23.9,16.73,33.884,0.81,0.349609375,24083.18945,0,2287.111111,0,0,0,0.317249829,13490.21972,4,0,0,4,0,0,0,0,62,58,4,62,44,44,10,44,0,0,0,0,0,0,0,110,102,14,110,0,18,0,0
BTS-VIIa/54/70/1993,53.7408,-3.7759,37.9,16.233,34.005,0.86,2.350328125,46270.94141,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,26,26,2,26,2,2,0,2,0,0,0,0,0,0,0,28,28,2,28,2,0,0,0
BTS-VIIa/27/75/1993,53.7125,-3.1534,5.07,16.82,33.021,0.57,0.429296875,8602.325195,0,2287.111111,0,0,0,0.317249829,13490.21972,26,2,0,26,0,0,0,0,312,36,6,318,78,62,14,82,0,0,0,0,0,0,0,416,100,20,426,0,8,0,0
BTS-VIIa/213/112/1993,53.7175,-5.8858,49.01,13.601,34.186,0.44,0.126875,19798.99023,61.43814433,1243.927777,0,0,0,0.035036051,4971.037695,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0
BTS-VIIa/401/102/1993,53.7484,-4.79505,66.01,14.79,34.159,1,0.3340625,34014.70313,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,2,0,0,2,24,22,4,24,0,0,0,0,0,0,0,26,22,4,26,0,0,0,0
BTS-VIIa/25/74/1993,53.7808,-3.23665,12.64,16.741,33.806,0.74,0.254375,13000,0,2287.111111,0,0,0,0.317249829,13490.21972,24,0,0,26,0,0,0,0,296,64,2,296,72,32,0,76,0,0,0,0,0,0,0,392,96,2,398,0,6,0,14
BTS-VIIa/44/77/1993,53.8592,-3.76665,38.38,15.85,34.015,0.8,0.975601563,42190.04297,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,32,32,2,32,2,2,2,2,0,0,0,0,0,0,0,34,34,4,34,0,0,0,0
BTS-VIIa/26/69/1993,53.8234,-3.3466,14.51,16.578,33.861,0.81,0.254375,19000,0,2287.111111,0,0,0,0.317249829,13490.21972,4,0,0,4,0,0,0,0,486,152,0,486,52,40,0,52,0,0,0,0,0,0,0,542,192,0,542,0,2,0,0
BTS-VIIa/53/78/1993,53.86335,-3.9042,39.01,15.727,34.029,0.92,0.975601563,48166.37891,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/43/71/1993,53.8367,-3.43585,18.14,16.539,33.877,0.79,0.254375,26000,0,2287.111111,0,0,0,0.317249829,13490.21972,4,0,0,4,0,0,0,0,42,38,10,42,4,4,4,4,0,0,0,0,0,0,0,50,42,14,50,0,2,0,0
BTS-VIIa/405/103/1993,53.8291,-5.2508,63.99,14.137,34.195,0.59,0.126875,37802.11719,64.50151516,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,4,2,2,4,30,4,0,48,0,0,0,0,0,0,0,34,6,2,52,0,0,0,0
BTS-VIIa/24/72/1993,53.9417,-3.3691,17.53,16.519,33.567,0.86,0.254375,16401.2207,0,2287.111111,0,0,0,0.317249829,13490.21972,8,0,0,8,0,0,0,0,64,64,8,64,38,16,0,50,0,0,0,0,0,0,0,110,80,8,122,0,0,0,0
BTS-VIIa/208/111/1993,53.865,-5.785,54.84,13.472,34.183,0.32,0.0471875,24413.11133,58.81491774,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/23/73/1993,53.89,-3.3241,11.67,16.551,33.646,0.89,0.254375,18000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,46,36,14,46,18,2,0,20,0,0,0,0,0,0,0,64,38,14,66,0,0,0,2
BTS-VIIa/206/110/1993,53.8767,-6.1041,28.69,14.026,34.196,0.23,0.126875,11180.33984,58.54328622,8536.822221,0,0,0,0.197,9228.522807,6,2,2,6,0,0,0,6,52,10,4,62,4,2,2,4,0,0,0,0,0,0,0,62,14,8,78,0,0,0,0
BTS-VIIa/42/79/1993,53.97585,-3.8017,33,15.583,34.025,0.73,0.3340625,38626.41406,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,8,6,0,8,0,0,0,0,0,0,0,0,0,0,0,8,6,0,8,0,0,0,0
BTS-VIIa/41/81/1993,53.9709,-3.55915,23.91,16.158,33.923,0.71,0.254375,24186.77344,0,2287.111111,0,0,0,0.317249829,13490.21972,2,0,0,2,0,0,0,0,30,30,6,30,6,6,0,6,0,0,0,0,0,0,0,38,36,6,38,0,0,0,0
BTS-VIIa/424/105/1993,53.9792,-4.5,39.24,14.867,34.102,1.31,2.350328125,12206.55566,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
