LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-3.29995,53.9608,BTS-VIIa/12/105/1994,0,15.21,16.214,33.432,12083.0459,,0.91,0,0,0,0
-4.99585,54.0434,BTS-VIIa/425/125/1994,0,72.35,14.353,34.177,12041.59473,,0.69,0,0,0,0
-3.9075,54.05,BTS-VIIa/22/100/1994,0,44.31,15.386,34.037,35777.08984,,0.75,0,0,0,0
-5.48505,54.1433,BTS-VIIa/444/126/1994,0,50.15,13.58,34.185,14764.82324,,0.31,0,0,0,0
-3.6384,54.1792,BTS-VIIa/19/99/1994,67.47716837,28.78,15.607,34.018,17888.54492,,0.43,0,0,0,0
-3.40665,54.11585,BTS-VIIa/10/98/1994,0,16.34,16.157,33.86,9000,,0.52,0,0,0,0
-5.8142,54.14005,BTS-VIIa/203/127/1994,0,25.61,14.223,34.215,5000,,0.21,0,0,0,0
-3.9084,54.35085,BTS-VIIa/18/95/1994,29.86020305,38.91,15.72,33.985,24758.83594,,0.55,0,0,0,0
-3.4983,54.2558,BTS-VIIa/9/97/1994,0,17.35,15.98,33.905,7280.109863,,0.49,0,0,0,0
-3.66255,54.40165,BTS-VIIa/17/96/1994,0,22.96,15.999,33.635,9219.543945,,0.52,0,0,0,0
-3.70005,54.4192,BTS-VIIa/16/92/1994,0,23.57,16.058,33.603,8944.272461,,0.51,0,0,0,0
-3.7525,54.5725,BTS-VIIa/7/90/1994,0,20.79,16.084,33.615,10630.14648,,0.45,0,2,0,0
-3.9666,54.59,BTS-VIIa/15/91/1994,0,31.61,16.168,33.822,20000,,0.7,0,0,0,0
-5.39005,52.92005,BTS-VIIa/441/138/1994,0,64.02,14.795,34.225,40607.87891,,1.51,0,0,0,0
-4.83255,52.9941,BTS-VIIa/442/135/1994,0,62.5,15.14,34.585,16278.82031,,1.21,0,0,0,0
